Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,,avgJifPercentile
2016,"7,056",3.251,3.015,4.266,0.538,117,7,>10.0,0.01626,1.777,100,1.86511,,86.31
2015,"6,385",3.082,2.857,4.402,0.437,87,6.6,8.7,0.01821,1.864,100,2.07529,,85.294
2014,"5,705",3.383,3.145,4.404,0.527,112,6,9.6,0.01798,1.8,100,2.01409,,87.647
2013,"5,315",3.371,3.204,4.785,0.378,119,5.6,9.5,0.01897,1.895,100,2.09137,,84.94
2012,"4,029",3.269,3.015,4.555,0.394,155,5.2,9.3,0.01768,1.91,100,Not Available,,86.145
2011,"3,468",3.875,3.375,5.245,0.245,163,4.7,9.5,0.01636,2.06,100,Not Available,,91.071
2010,"2,540",3.027,2.854,4.397,0.443,97,4.7,9.1,0.01407,1.894,100,Not Available,,83.333
2009,"2,134",3.726,3.445,4.877,0.284,95,4.2,9.1,0.01351,2.048,98.95,Not Available,,87.162
2008,"1,525",3.073,2.7,Not Available,0.264,91,3.9,8,0.01083,Not Available,97.8,Not Available,,85.211
2007,"1,055",3.088,2.592,Not Available,0.393,84,3.7,9.4,0.00783,Not Available,96.43,Not Available,,86.806
2006,717,3.053,2.578,Not Available,0.106,66,3.8,9.1,Not Available,Not Available,96.97,Not Available,,87.857
Copyright Â© 2017 Clarivate Analytics,,,,,,,,,,,,,1,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,