"","Year","ACTA_PSYC","ADDICTIVE_BEHAV","AMER_JOUR_OF_DRUG_AND_ALC_ABUSE","AUTISM_RESEARCH","BEHAVIOR_RESEARCH_METHODS","BILINGUALISM_LANG_AND_COG","BIOLOGICAL_PSYCHOLOGY","BRAIN_AND_COG","BRAIN_AND_LANG","COGNITION","COGNITIVE_NEUROPSYC","CONSCIOUSNESS_AND_COGNITION","CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE","DEPRESSION_AND_ANXIETY","DEVELOPMENTAL_NEUROPSYCHOLOGY","DEVELOPMENTAL_SCIENCE","EMOTION","FRONTIERS_IN_HUMAN_NEUROSCIENCE","FRONTIERS_IN_PSYC","INTERNATIONAL_JOURNAL_OF_PSYCHOPHYSIOLOGY","JOURNAL_OF_ABNORMAL_PSYCHOLOGY","JOURNAL_OF_AUTISM_AND_DEVELOPMENTAL_DISORDERS","JOURNAL_OF_CHILD_PSYCHOLOGY_AND_PSYCHIATRY","JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY","JOURNAL_OF_COGNITIVE_NEUROSCIENCE","JOURNAL_OF_EXPERIMENTAL_PSYCHOLOGY_GENERAL","JOURNAL_OF_EXPERIMENTAL_PSYCHOLOGY_LEARNING_MEMORY_AND_COGNITION","JOURNAL_OF_NEUROLINGUISTICS","JOURNAL_OF_PSYCHOPHYSIOLOGY","JOURNAL_OF_THE_AMERICAN_ACADEMY_OF_CHILD_AND_ADOLESCENT_PSYCHIATRY","JOURNAL_OF_THE_INTERNATIONAL_NEUROPSYCHOLOGICAL_SOCIETY","LATERALITY","LEARNING_AND_MEMORY","NEUROBIOLOGY_OF_LEARNING_AND_MEMORY","NEUROCASE","NEUROPSYCHOBIOLOGY","NEUROPSYCHOLOGIA","NEUROPSYCHOLOGY","PERCEPTION","PERSPECTIVES_ON_PSYCHOLOGICAL_SCIENCE","PHYSIOLOGY_AND_BEHAVIOR","PSYC_SCI","PSYCHOLOGICAL_MEDICINE","PSYCHOLOGICAL_RESEARCH_PSYCHOLOGISCHE_FORSCHUNG","PSYCHOPHYSIOLOGY","PSYCHOSOMATIC_MEDICINE","QUARTERLY_JOURNAL_OF_EXPERIMENTAL_PSYCHOLOGY","SCANDINAVIAN_JOURNAL_OF_PSYCHOLOGY","SOCIAL_COG_AND_AFF_NEURO","SOCIAL_NEURO"
"1","2016",2.031,2.944,2.161,3.765,3.623,3.01,3.07,2.432,2.439,3.414,1.146,2.144,5.255,4.971,1.813,4.604,3.251,3.209,2.321,2.582,4.133,3.321,6.226,1.839,3.108,4.42,2.667,1.403,0.683,6.442,2.181,1.267,2.894,3.543,0.988,1.491,3.197,3.286,1.087,7.359,2.341,5.667,5.23,3.119,2.668,3.863,2.129,1.284,3.937,2.255
"2","2015",1.816,2.795,1.828,3.048,3.048,2.33,3.234,2.399,3.038,3.411,1.444,2.182,5.545,5.004,1.947,3.982,3.082,3.634,2.463,2.596,5.538,3.493,6.615,1.693,3.559,4.07,2.776,1.296,1.167,7.182,2.633,1.239,2.906,3.439,1.225,1.763,2.989,2.879,0.917,7.658,2.461,5.476,5.491,2.681,3.074,3.638,2.13,1.364,5.101,2.778
"3","2014",2.248,2.764,1.779,4.33,2.928,2.009,3.403,2.477,3.215,3.479,2.073,1.941,5.678,4.407,2.241,3.808,3.383,3.626,2.56,2.882,5.153,3.665,6.459,2.083,4.085,5.929,2.862,1.489,1.59,7.26,2.963,1.356,3.657,3.652,1.124,2.261,3.302,3.269,0.906,9.546,2.976,4.94,5.938,2.863,2.986,3.473,2.127,1.057,7.372,2.66
"4","2013",2.367,2.441,1.47,4.532,2.458,1.907,3.473,2.683,3.309,3.634,1.964,2.235,4.824,4.288,2.67,4.278,3.371,2.895,2.843,2.648,4.974,3.384,5.669,2.158,4.687,5.495,3.098,1.596,1.425,6.354,3.009,1.312,4.375,4.035,1.381,2.303,3.451,3.425,1.114,9.955,3.033,4.864,5.428,2.462,3.18,4.085,1.73,1.147,5.884,2.873
"5","2012",2.206,2.021,1.733,3.988,1.907,2.229,3.399,2.823,3.386,3.523,1.517,2.027,4.222,4.61,2.899,3.628,3.269,2.906,NA,2.036,4.646,3.723,5.422,1.862,4.493,4.759,2.918,1.115,1,6.97,2.697,1.025,4.057,3.327,1.05,2.371,3.477,3.579,1.311,6.594,3.16,4.543,5.587,2.378,3.261,4.077,1.82,1.292,5.042,2.785
"6","2011",2.255,2.085,1.553,3.686,2.116,1.714,3.225,3.174,3.115,3.162,2.134,2.308,3.929,4.184,2.556,3.888,3.875,2.339,NA,2.144,4.857,3.341,4.281,2.133,5.175,3.986,2.854,1.965,1.536,6.444,2.759,1.135,4.219,3.419,1.114,2.675,3.636,3.816,1.313,4.89,2.869,4.431,6.159,2.472,3.29,3.968,1.964,1.521,6.132,2.738
"7","2010",2.246,2.133,1.372,3.095,2.403,1.691,3.348,2.838,3.162,3.708,2.082,2.179,3.49,3.065,2.44,3.53,3.027,1.94,NA,2.378,5.235,2.962,4.36,1.805,5.357,5.042,2.761,1.742,0.913,5.148,2.91,1.384,4.607,3.701,1.069,2.567,3.949,3.176,1.293,5.268,2.891,4.699,5.2,1.853,3.263,3.974,2.212,1.078,4.482,2.823
"8","2009",2.194,2.248,1.335,1.375,2.923,1.636,4.363,2.547,2.973,3.562,1.674,2.136,3.954,2.926,2.321,4.203,3.726,1.548,NA,3.045,4.515,3.063,4.983,1.885,5.382,4.701,3.344,1.66,2.488,4.983,2.766,1.514,4.079,3.479,0.97,2.147,4.345,2.949,1.462,7.508,3.295,5.09,5.012,1.952,3.926,4.236,2.016,1.148,4.203,3.172
"9","2008",2.155,1.846,1.094,NA,1.737,2.049,3.686,2.441,2.929,3.481,1.755,2.69,3.35,2.526,1.964,3.818,3.073,NA,NA,2.264,4.446,3.348,4.854,2.184,4.867,4.74,2.973,1.447,2.049,4.845,2.625,0.812,4.126,3.757,0.918,1.752,4.074,3.201,1.36,NA,2.806,4.812,4.718,1.754,3.318,3.46,1.76,1,NA,NA
"10","2007",1.783,1.752,1.236,NA,0.963,0.756,2.715,2.308,2.641,3.831,1.925,2.732,2.75,1.893,2.922,3.198,3.088,NA,NA,2.205,4.684,3.212,4.432,1.691,4.997,5.594,2.408,1.2,2.378,4.655,2.402,0.962,4.037,3.443,1.505,1.992,3.63,2.987,1.617,NA,2.561,4.251,4.212,1.847,3.349,3.109,1.104,0.609,NA,NA
"11","2006",2.094,1.849,1.146,NA,1.15,NA,2.698,2.858,2.317,4.229,2.43,1.825,2.326,2.549,2.861,2.915,3.053,NA,NA,2.247,4.372,2.41,4.404,1.59,5.197,6.177,2.601,1.163,1.634,4.767,2.367,1.364,5.099,3.593,1.545,2.367,3.924,3.123,1.585,NA,2.445,4.571,3.816,2.267,3.159,3.857,NA,0.607,NA,NA
"12","2005",1.768,1.581,1.094,NA,1.124,NA,3,1.845,2.129,3.78,3,2.047,2.13,1.975,2.443,2.436,NA,NA,NA,2.584,4.383,2.375,3.927,1.689,4.533,5.242,2.812,1.396,0.968,4.113,2.595,1.02,4.142,4.091,0.898,1.788,4.119,2.49,1.391,NA,2.183,4.502,3.476,1.222,2.848,3.642,NA,0.632,NA,NA
"13","2004",1.546,1.662,0.91,NA,NA,NA,1.637,1.148,1.614,3.444,2.746,1.72,2.154,1.721,1.953,2.043,NA,NA,NA,1.563,3.281,2.128,2.782,1.367,5.275,3.683,2.015,1.429,0.611,3.529,2.95,1.041,4.694,4.443,0.978,1.667,3.668,2.357,1.271,NA,2.044,3.58,2.943,1.379,2.257,3.429,NA,1.049,NA,NA
"14","2003",1.684,1.584,1.057,NA,NA,NA,2.128,1.063,1.317,4.304,2.317,2.058,1.689,1.739,1.672,1.775,NA,NA,NA,2.014,3.351,1.807,2.743,1.273,5.069,4.434,2.516,1.571,0.707,3.779,2.304,0.704,4.444,2.758,1.884,1.479,2.695,2.027,1.259,NA,2.027,3.558,3.133,1.098,2.066,3.687,NA,1.237,NA,NA
"15","2002",1.521,1.051,1.28,NA,NA,NA,2.435,1.093,1.036,3.099,3.391,2.179,1.425,1.652,1.351,NA,NA,NA,NA,2.055,3.215,2.142,2.514,1.333,6.096,3.348,2.443,0.576,0.738,3.662,1.947,0.765,3.529,2.417,1.769,2.065,3.184,2.324,1.314,NA,1.652,2.961,2.784,1.721,2.674,3.218,NA,0.73,NA,NA
"16","2001",1.33,0.989,1.031,NA,NA,NA,1.778,0.791,1.038,2.661,3.397,3.182,1.594,NA,0.914,NA,NA,NA,NA,1.747,2.566,2.255,2.82,1.014,6.736,4.057,2.021,0.722,0.587,3.608,2.034,NA,3.516,1.83,1.312,1.604,3.302,2.486,1.31,NA,1.328,2.766,3.119,1.492,3.035,2.815,NA,0.427,NA,NA
"17","2000",1.267,0.978,1.053,NA,NA,NA,1.5,0.63,1.473,2.622,NA,1.962,1.43,NA,0.871,NA,NA,NA,NA,1.489,3.352,2.309,2.94,1.067,5.115,3.636,2.753,0.514,0.685,3.175,2.376,NA,4.011,3.04,1.871,1.56,2.778,2.702,1.193,NA,1.419,2.565,3.412,1.36,3.106,3.246,NA,0.33,NA,NA
"18","1999",0.596,0.994,0.898,NA,NA,NA,1.474,0.736,1.929,3.385,NA,1.778,1.278,NA,1.083,NA,NA,NA,NA,1.829,3.174,1.913,2.562,1.265,5.793,4.179,3.205,0.909,0.537,3.618,NA,NA,2.633,2.805,1.268,0.953,2.687,3.113,1.033,NA,1.285,3.036,3.389,0.915,3.006,2.624,NA,0.573,NA,NA
"19","1998",0.577,1.169,0.952,NA,NA,NA,1.8,0.508,2.116,2.833,NA,0.379,1.296,NA,1.36,NA,NA,NA,NA,1.148,3.077,1.594,2.552,1.367,5.22,3.6,2.838,0.378,0.593,3.732,NA,NA,2.429,1.841,1.012,0.846,2.939,2.613,0.882,NA,1.228,3.188,3.124,0.696,2.432,3.046,NA,0.537,NA,NA
"20","1997",0.523,0.922,0.85,NA,NA,NA,1.056,0.566,1.579,2.973,NA,0.838,1.392,NA,NA,NA,NA,NA,NA,0.703,2.678,1.475,2.193,1.317,4.844,2.545,2.714,0.091,0.686,3.793,NA,NA,3.673,2.122,NA,0.821,2.267,2.064,0.895,NA,1.25,2.901,3.017,0.646,2.774,3.089,NA,0.351,NA,NA
